시간 흐름에 따른 관심도?변화,,
출처,구글 트렌드,
Date,Climbing,Camping
Jan-04,23,3
Feb-04,15,0
Mar-04,8,4
Apr-04,21,0
May-04,18,3
Jun-04,15,4
Jul-04,19,11
Aug-04,16,5
Sep-04,14,0
Oct-04,26,0
Nov-04,17,6
Dec-04,10,0
Jan-05,18,3
Feb-05,12,0
Mar-05,11,2
Apr-05,11,0
May-05,17,4
Jun-05,26,8
Jul-05,10,9
Aug-05,11,7
Sep-05,25,3
Oct-05,21,2
Nov-05,21,0
Dec-05,17,2
Jan-06,19,2
Feb-06,16,2
Mar-06,13,4
Apr-06,16,0
May-06,13,3
Jun-06,14,5
Jul-06,12,7
Aug-06,16,8
Sep-06,12,1
Oct-06,20,3
Nov-06,15,4
Dec-06,11,2
Jan-07,12,1
Feb-07,9,1
Mar-07,9,1
Apr-07,12,1
May-07,9,5
Jun-07,6,3
Jul-07,9,8
Aug-07,9,6
Sep-07,9,3
Oct-07,15,3
Nov-07,13,2
Dec-07,10,2
Jan-08,8,2
Feb-08,12,2
Mar-08,7,3
Apr-08,10,4
May-08,10,6
Jun-08,10,7
Jul-08,8,13
Aug-08,9,14
Sep-08,12,7
Oct-08,19,8
Nov-08,10,3
Dec-08,11,5
Jan-09,10,3
Feb-09,8,2
Mar-09,10,2
Apr-09,12,6
May-09,10,6
Jun-09,11,8
Jul-09,11,19
Aug-09,10,15
Sep-09,12,10
Oct-09,13,10
Nov-09,14,4
Dec-09,11,5
Jan-10,10,3
Feb-10,13,4
Mar-10,9,5
Apr-10,11,9
May-10,17,12
Jun-10,9,8
Jul-10,15,39
Aug-10,23,35
Sep-10,20,23
Oct-10,35,23
Nov-10,33,17
Dec-10,19,12
Jan-11,21,9
Feb-11,18,7
Mar-11,15,11
Apr-11,16,16
May-11,19,26
Jun-11,19,38
Jul-11,18,60
Aug-11,18,53
Sep-11,21,34
Oct-11,37,26
Nov-11,23,16
Dec-11,17,12
Jan-12,21,14
Feb-12,31,17
Mar-12,25,24
Apr-12,22,27
May-12,27,54
Jun-12,23,69
Jul-12,20,100
Aug-12,17,77
Sep-12,24,45
Oct-12,40,43
Nov-12,24,24
Dec-12,19,17
Jan-13,22,19
Feb-13,20,22
Mar-13,24,33
Apr-13,24,38
May-13,26,65
Jun-13,21,78
Jul-13,16,99
Aug-13,18,88
Sep-13,23,50
Oct-13,35,40
Nov-13,20,24
Dec-13,18,16
Jan-14,22,15
Feb-14,20,16
Mar-14,20,26
Apr-14,20,42
May-14,24,59
Jun-14,19,60
Jul-14,16,74
Aug-14,15,57
Sep-14,21,38
Oct-14,24,32
Nov-14,16,17
Dec-14,13,12
Jan-15,18,12
Feb-15,14,12
Mar-15,17,21
Apr-15,17,25
May-15,17,38
Jun-15,12,31
Jul-15,12,53
Aug-15,13,43
Sep-15,14,25
Oct-15,18,22
Nov-15,12,12
Dec-15,11,10
Jan-16,12,8
Feb-16,11,8
Mar-16,20,14
Apr-16,16,21
May-16,16,31
Jun-16,12,34
Jul-16,12,41
Aug-16,10,37
Sep-16,11,24
Oct-16,15,20
Nov-16,11,12
Dec-16,8,10
Jan-17,11,11
Feb-17,11,11
Mar-17,11,16
Apr-17,13,27
May-17,14,28
Jun-17,12,31
Jul-17,9,34
Aug-17,10,32
Sep-17,12,27
Oct-17,16,21
Nov-17,11,12
Dec-17,7,9
Jan-18,10,8
Feb-18,9,9
Mar-18,12,14
Apr-18,11,21
May-18,12,26
Jun-18,10,27
Jul-18,8,34
Aug-18,9,25
Sep-18,11,21
Oct-18,14,18
Nov-18,11,13
Dec-18,8,10
Jan-19,11,9
Feb-19,10,11
Mar-19,11,14
Apr-19,12,20
May-19,12,27
Jun-19,11,29
Jul-19,8,39
